,day,date,census_hospitalized,census_icu,census_ventilated
130,83,2020-06-30,753.3000782138988,346.51831970137937,231.0122131342523
131,84,2020-07-01,720.4344699364883,331.45216642745436,220.96811095163685
132,85,2020-07-02,688.9604168827354,317.0145969805908,211.3430646537272
133,86,2020-07-03,658.8276890995439,303.18428839139324,202.1228589275961
134,87,2020-07-04,629.9865238893617,289.9399034476055,193.29326896507246
135,88,2020-07-05,602.3878387935401,277.26021366159694,184.84014244106493
136,89,2020-07-06,575.9834081154077,265.1242033609524,176.7494689073028
137,90,2020-07-07,550.7260071796518,253.51115689689505,169.00743793126367
138,91,2020-07-08,526.5695281855224,242.40073083417337,161.60048722278225
139,92,2020-07-09,503.46907117639785,231.77301284914574,154.5153418994305
140,93,2020-07-10,481.3810133232146,221.60856892418815,147.73904594945907
141,94,2020-07-11,460.2630594082002,211.8884802891207,141.2589868594132
142,95,2020-07-12,440.0742761018191,202.59437142732168,135.06291428488203
143,96,2020-07-13,420.77511235075144,193.70843033631172,129.13895355754175
144,97,2020-07-14,402.3274079399853,185.2134221120832,123.4756147413882
145,98,2020-07-15,384.69439205727394,177.09269681329351,118.0617978755281
146,99,2020-07-16,367.8406734738055,169.33019245666765,112.88679497111025
147,100,2020-07-17,351.732223759529,161.9104338981524,107.94028926543433
148,101,2020-07-18,336.3363547753288,154.81852826606155,103.21235217737467
149,102,2020-07-19,321.62169152522256,148.04015753197018,98.69343835464679
150,103,2020-07-20,307.5581413094842,141.56156873219516,94.37437915479677
151,104,2020-07-21,294.11685999249676,135.3695622873729,90.2463748582486
152,105,2020-07-22,281.2702160861372,129.45147880858894,86.30098587239172
153,106,2020-07-23,268.9917532494728,123.79518472628479,82.53012315085562
154,107,2020-07-24,257.2561517170798,118.38905703127966,78.9260380208525
155,108,2020-07-25,246.03918909060667,113.221967376061,75.48131158404158
156,109,2020-07-26,235.31770085989046,108.28326574779567,72.18884383186378
157,110,2020-07-27,225.06954096053232,103.56276389249433,69.04184259499652
158,111,2020-07-28,215.27354262232984,99.0507186414743,66.03381242764863
159,112,2020-07-29,205.90947971850255,94.7378152665733,63.158543511048265
160,113,2020-07-30,196.9580287858189,90.61515096918083,60.41010064612237
161,114,2020-07-31,188.40073185255096,86.67421858929447,57.78281239286298
162,115,2020-08-01,180.21996018171922,82.90689060473778,55.27126040315852
163,116,2020-08-02,172.3988790125768,79.30540347672468,52.87026898448403
164,117,2020-08-03,164.9214133615751,75.86234238584439,50.574894923895044
165,118,2020-08-04,157.77221492673925,72.57062639231299,48.380417594875325
166,119,2020-08-05,150.93663012334946,69.42349404560991,46.282329363741155
167,120,2020-08-06,144.4006692666262,66.41448946101082,44.27632630734115
