,day,date,admits_hospitalized,admits_icu,admits_ventilated
45,-2,2020-04-06,151.56594562138616,45.469783686415894,30.313189124277244
46,-1,2020-04-07,160.22888069975943,48.06866420992776,32.045776139951954
47,0,2020-04-08,169.2521057267977,50.775631718039335,33.85042114535952
48,1,2020-04-09,178.63318440137755,53.589955320413196,35.72663688027535
49,2,2020-04-10,188.3670334014696,56.51011002044095,37.67340668029408
50,3,2020-04-11,198.44563447989458,59.533690343968374,39.6891268959788
51,4,2020-04-12,208.85774652354576,62.65732395706368,41.7715493047092
52,5,2020-04-13,219.58862334780633,65.8765870043419,43.91772466956115
53,6,2020-04-14,230.61974397324502,69.18592319197342,46.123948794649095
54,7,2020-04-15,241.92856309298577,72.57856892789596,48.38571261859727
55,8,2020-04-16,253.48829034231267,76.04648710269339,50.69765806846226
56,9,2020-04-17,265.26770777503134,79.58031233250972,53.05354155500652
57,10,2020-04-18,277.2310355734853,83.16931067204564,55.44620711469702
58,11,2020-04-19,289.33785640484166,86.80135692145245,57.867571280968264
59,12,2020-04-20,301.54310891504974,90.46293267451483,60.308621783009926
60,13,2020-04-21,313.7971605538278,94.13914816614852,62.75943211076583
61,14,2020-04-22,326.04596918331936,97.81379075499581,65.20919383666364
62,15,2020-04-23,338.2313416840934,101.46940250522789,67.6462683368186
63,16,2020-04-24,350.2912959956684,105.0873887987002,70.05825919913377
64,17,2020-04-25,362.1605306981601,108.64815920944852,72.4321061396322
65,18,2020-04-26,373.77100337001775,112.13130101100523,74.75420067400341
66,19,2020-04-27,385.0526155918433,115.5157846775528,77.01052311836861
67,20,2020-04-28,395.9339986950945,118.78019960852862,79.18679973901908
68,21,2020-04-29,406.3433903041059,121.9030170912315,81.268678060821
69,22,2020-04-30,416.20958755719585,124.86287626715875,83.24191751143917
70,23,2020-05-01,425.46295881791957,127.63888764537614,85.09259176358387
71,24,2020-05-02,434.0364919259082,130.21094757777155,86.80729838518141
72,25,2020-05-03,441.8668538255333,132.56005614766036,88.37337076510653
73,26,2020-05-04,448.8954339821539,134.66863019464608,89.77908679643133
74,27,2020-05-05,455.0693425604568,136.5208027681374,91.01386851209145
75,28,2020-05-06,460.34233406547355,138.10270021964152,92.06846681309435
76,29,2020-05-07,464.6756281440157,139.40268844320553,92.93512562880323
77,30,2020-05-08,468.0386015484728,140.4115804645412,93.60772030969383
78,31,2020-05-09,470.409328829046,141.1227986487138,94.0818657658092
79,32,2020-05-10,471.77495401393753,141.53248620418117,94.35499080278805
80,33,2020-05-11,472.1318811466226,141.63956434398688,94.42637622932489
81,34,2020-05-12,471.48577779708467,141.44573333912558,94.2971555594172
82,35,2020-05-13,469.8513922208349,140.95541766625047,93.97027844416652
83,36,2020-05-14,467.25219135477346,140.17565740643204,93.45043827095469
84,37,2020-05-15,463.719832961664,139.11594988849902,92.74396659233298
85,38,2020-05-16,459.2934906457958,137.78804719373875,91.85869812915962
86,39,2020-05-17,454.0190548928658,136.20571646785993,90.80381097857253
87,40,2020-05-18,447.9482365410222,134.3844709623072,89.5896473082048
88,41,2020-05-19,441.13760105479014,132.3412803164365,88.22752021095766
89,42,2020-05-20,433.6475626218744,130.09426878656268,86.72951252437542
90,43,2020-05-21,425.54136648296844,127.66240994488999,85.10827329659287
91,44,2020-05-22,416.8840861646713,125.06522584940194,83.37681723293463
92,45,2020-05-23,407.74165960353275,122.32249788105946,81.54833192070691
93,46,2020-05-24,398.17998474755586,119.4539954242673,79.63599694951154
94,47,2020-05-25,388.26409134488495,116.4792274034653,77.65281826897626
95,48,2020-05-26,378.0574015172606,113.41722045517781,75.61148030345248
96,49,2020-05-27,367.62108759508556,110.28632627852585,73.52421751901693
97,50,2020-05-28,357.0135317538552,107.10405952615656,71.40270635077104
98,51,2020-05-29,346.28988839716476,103.88696651914961,69.25797767943277
99,52,2020-05-30,335.5017470918101,100.65052412754267,67.10034941836238
100,53,2020-05-31,324.6968912480079,97.40906737440218,64.93937824960085
101,54,2020-06-01,313.9191456843764,94.17574370531293,62.78382913687619
102,55,2020-06-02,303.2083047193628,90.96249141580938,60.64166094387201
103,56,2020-06-03,292.60013145867924,87.78003943760359,58.52002629173603
104,57,2020-06-04,282.12641845033795,84.6379255351012,56.42528369006777
105,58,2020-06-05,271.8150997894518,81.5445299368348,54.363019957889264
106,59,2020-06-06,261.69040500409756,78.50712150123036,52.33808100082024
107,60,2020-06-07,251.77304556587842,75.53191366976262,50.354609113174774
108,61,2020-06-08,242.0804255748808,72.62412767246497,48.41608511497725
109,62,2020-06-09,232.6268690048746,69.78806070146129,46.525373800974194
110,63,2020-06-10,223.42385680113875,67.0271570403429,44.6847713602283
111,64,2020-06-11,214.480268057785,64.34408041733514,42.89605361155736
112,65,2020-06-12,205.8026204204798,61.740786126143576,41.160524084095414
113,66,2020-06-13,197.39530573923548,59.21859172177119,39.47906114784746
114,67,2020-06-14,189.2608178116643,56.778245343498384,37.85216356233286
115,68,2020-06-15,181.39996979580246,54.41999093874074,36.27999395916049
116,69,2020-06-16,173.81209952822974,52.14362985846947,34.7624199056454
117,70,2020-06-17,166.4952615516886,49.948578465507126,33.299052310338084
118,71,2020-06-18,159.44640514191997,47.8339215425749,31.889281028383266
119,72,2020-06-19,152.66153802640474,45.79846140792142,30.53230760528095
120,73,2020-06-20,146.1358758166789,43.84076274500421,29.22717516333705
121,74,2020-06-21,139.8639774369076,41.95919323107228,27.972795487381518
122,75,2020-06-22,133.83986703211121,40.151960109633364,26.767973406422243
123,76,2020-06-23,128.057142988353,38.41714289650463,25.611428597669146
